"","X","water_consumption","num_units_persons","premise_type","loc_in_city","bill_date_posting_date","meter_read_date","meter_size","billing_frequency","sewer_consumption","id","cpcode","cpname","acreage"
"1",1,0,0,1,"OUT","6/22/15","5/6/15","","M",7.5,1,49,"FAIRBANKS RANCH COUNTRY CLUB",788.1671902
"2",2,19,0,1,"IN","6/11/15","6/9/15","3/4","B",18.688524,2,34,"SCRIPPS MIRAMAR RANCH",4197.1577404
"3",3,20,0,1,"IN","6/23/15","6/19/15","3/4","B",13.684212,3,15,"MIRA MESA",10729.0159538
"4",4,18,0,1,"IN","6/23/15","6/19/15","3/4","B",18,4,15,"MIRA MESA",10729.0159538
"5",5,21,0,1,"IN","6/12/15","6/10/15","3/4","B",18.305082,5,34,"SCRIPPS MIRAMAR RANCH",4197.1577404
"6",6,28,0,1,"IN","6/11/15","6/9/15","3/4","B",25.57377,6,34,"SCRIPPS MIRAMAR RANCH",4197.1577404
"7",7,35,0,1,"IN","6/11/15","6/9/15","3/4","B",35.409834,7,47,"TIERRASANTA",7247.00443508
"8",8,6,0,1,"IN","6/23/15","6/19/15","3/4","B",18,8,15,"MIRA MESA",10729.0159538
"9",9,7,0,1,"IN","6/23/15","6/20/15","3/4","B",6.315792,9,15,"MIRA MESA",10729.0159538
"10",10,24,0,1,"IN","6/15/15","6/12/15","3/4","B",25.423728,10,5,"SABRE SPRINGS",1595.33004886
"11",11,22,0,1,"IN","6/23/15","6/19/15","3/4","B",18,11,15,"MIRA MESA",10729.0159538
"12",12,11,0,1,"IN","6/23/15","6/19/15","3/4","B",18,12,15,"MIRA MESA",10729.0159538
"13",13,36,0,1,"IN","6/11/15","6/10/15","3/4","B",32.459016,13,9,"MIRAMAR RANCH NORTH",1894.01237496
"14",14,18,0,1,"IN","6/16/15","6/13/15","3/4","B",18,14,29,"RANCHO PENASQUITOS",6456.34490358
"15",15,9,0,1,"IN","6/18/15","6/16/15","3/4","B",16.72131,15,31,"RANCHO BERNARDO",6582.52496453
"16",16,37,0,1,"IN","6/24/15","6/22/15","1","B",23.809524,16,48,"TORREY HILLS",832.63562976
"17",17,17,0,1,"IN","6/12/15","6/11/15","3/4","B",11.803278,17,34,"SCRIPPS MIRAMAR RANCH",4197.1577404
"18",18,5,0,1,"IN","6/23/15","6/19/15","3/4","B",8.709678,18,15,"MIRA MESA",10729.0159538
"19",19,19,0,1,"IN","6/12/15","6/10/15","1","B",13.22034,19,34,"SCRIPPS MIRAMAR RANCH",4197.1577404
"20",20,8,0,1,"IN","6/23/15","6/19/15","3/4","B",8.27586,20,15,"MIRA MESA",10729.0159538
"21",21,77,8,2,"IN","6/12/15","6/10/15","1 1/2","B",77,21,9,"MIRAMAR RANCH NORTH",1894.01237496
"22",22,33,0,1,"IN","6/23/15","6/20/15","3/4","B",23.793102,22,15,"MIRA MESA",10729.0159538
"23",23,11,0,1,"IN","6/23/15","6/19/15","3/4","B",12.580644,23,15,"MIRA MESA",10729.0159538
"24",24,5,0,1,"IN","6/12/15","6/11/15","3/4","B",4.918032,24,9,"MIRAMAR RANCH NORTH",1894.01237496
"25",25,5,0,1,"IN","6/23/15","6/19/15","3/4","B",18,25,15,"MIRA MESA",10729.0159538
"26",26,0,0,1,"IN","6/12/15","5/29/15","","B",18.2711886,26,5,"SABRE SPRINGS",1595.33004886
"27",27,0,0,1,"IN","6/22/15","6/18/15","3/4","B",6e-06,27,15,"MIRA MESA",10729.0159538
"28",28,14,0,1,"IN","6/15/15","6/12/15","3/4","B",7.741938,28,34,"SCRIPPS MIRAMAR RANCH",4197.1577404
"29",29,10,0,1,"IN","6/16/15","6/12/15","1","B",6.545454,29,29,"RANCHO PENASQUITOS",6456.34490358
"30",30,14,0,1,"IN","6/16/15","6/13/15","3/4","B",11.186442,30,31,"RANCHO BERNARDO",6582.52496453
"31",31,11,0,1,"IN","6/22/15","6/18/15","3/4","B",9.523812,31,15,"MIRA MESA",10729.0159538
"32",32,8,0,1,"IN","6/16/15","6/12/15","3/4","B",6.101694,32,29,"RANCHO PENASQUITOS",6456.34490358
"33",33,4,0,1,"IN","6/1/15","5/31/15","3/4","B",4.4745767,33,26,"OTAY MESA",9316.12916262
"34",34,17,0,1,"IN","6/12/15","6/10/15","3/4","B",18,34,9,"MIRAMAR RANCH NORTH",1894.01237496
"35",35,9,0,1,"IN","6/11/15","6/9/15","3/4","B",1.967214,35,47,"TIERRASANTA",7247.00443508
"36",36,4,0,1,"IN","6/15/15","6/11/15","3/4","B",4.918032,36,3,"CARMEL MOUNTAIN RANCH",1522.7694068
"37",37,25,0,1,"IN","6/15/15","6/11/15","1","B",19.322034,37,16,"RANCHO ENCANTADA",2699.38812025
"38",38,30,0,1,"IN","6/22/15","6/18/15","3/4","B",21.72414,38,15,"MIRA MESA",10729.0159538
"39",39,6,0,1,"IN","6/9/15","6/5/15","3/4","B",6,39,47,"TIERRASANTA",7247.00443508
"40",40,21,0,1,"IN","6/12/15","6/10/15","3/4","B",12.203388,40,9,"MIRAMAR RANCH NORTH",1894.01237496
"41",41,29,0,1,"IN","6/12/15","6/10/15","1","B",22.258062,41,9,"MIRAMAR RANCH NORTH",1894.01237496
